Nama_Lokasi,Jam_Login,Nama,Email,No_Telp,Tahun_Lahir,Merek_HP,Digital_Interest,Location_Type,Usia,Jam_Login_Rounded
SMA N 27 Jakarta,12:17,Lanjar,Lanjar@google.com,8887729249,1976-03-06,samsung,tech,Goes to School,47.0,12
Jogja City Mall,22:34,Wasis,Wasis@google.com,8666823635,1977-06-11,apple,music,Free,46.0,23
Stuja Coffee,09:21,Jaga,Jaga@google.com,8147275434,2001-04-04,samsung,art,Social,22.0,9
Jogja City Mall,07:04,Jefri,Jefri@google.com,8446855995,2001-05-22,samsung,games,Free,22.0,7
Foresthree Coffee,03:59,Tasdik,Tasdik@google.com,8622699441,1997-07-18,apple,cooking,Social,25.0,4
SMA N 27 Jakarta,20:59,Titi,Titi@google.com,8720525491,1973-12-06,vivo,tech,Goes to School,49.0,21
Stuja Coffee,09:22,Nadine,Nadine@google.com,8022690608,1971-09-03,xiaomi,tech,Social,51.0,9
SMA N 27 Jakarta,16:07,Cahyo,Cahyo@google.com,8999409519,1964-01-23,xiaomi,science,Goes to School,59.0,16
Tang City Mall,16:20,Zulaikha,Zulaikha@google.com,8148954275,1996-08-22,vivo,sport,Free,26.0,16
Tang City Mall,08:42,Praba,Praba@google.com,8207555469,2006-04-30,oppo,entertainment,Free,17.0,9
SMA N 27 Jakarta,06:02,Pangeran,Pangeran@google.com,8723285803,1990-08-10,apple,sport,Goes to School,32.0,6
Grand Metropolitan Mall,05:31,Prasetya,Prasetya@google.com,8665356996,2001-01-20,vivo,games,Free,22.0,6
Coffee Toffee,20:14,Salsabila,Salsabila@google.com,8587144043,1966-06-06,xiaomi,games,Social,57.0,20
SMA N 28 Jakarta,03:29,Putri,Putri@google.com,8097989061,2007-01-04,vivo,games,Goes to School,16.0,3
SMA N 28 Jakarta,07:50,Drajat,Drajat@google.com,8114781239,1971-12-19,xiaomi,science,Goes to School,51.0,8
Stuja Coffee,15:12,Prakosa,Prakosa@google.com,8920668751,1988-10-20,samsung,tech,Social,34.0,15
SMA N 28 Jakarta,11:37,Gaduh,Gaduh@google.com,8589776634,1976-07-30,apple,beauty,Goes to School,46.0,12
Coffee Toffee,10:27,Irfan,Irfan@google.com,8317671426,2003-07-28,samsung,cooking,Social,19.0,10
Tang City Mall,19:25,Aditya,Aditya@google.com,8540288790,1976-09-30,samsung,music,Free,46.0,19
SMA N 27 Jakarta,20:50,Gamani,Gamani@google.com,8591101827,2002-08-15,xiaomi,cooking,Goes to School,20.0,21
Grand Metropolitan Mall,12:56,Karna,Karna@google.com,8936761931,1982-02-13,xiaomi,music,Free,41.0,13
Jogja City Mall,11:22,Cakrawala,Cakrawala@google.com,8266596241,1995-12-11,samsung,science,Free,27.0,11
SMA N 27 Jakarta,08:15,Martaka,Martaka@google.com,8135496425,1998-05-01,oppo,sport,Goes to School,25.0,8
SMA N 47 Jakarta,11:38,Zaenab,Zaenab@google.com,8453116059,1976-12-13,apple,science,Goes to School,46.0,12
SMA N 27 Jakarta,21:47,Cornelia,Cornelia@google.com,8643678306,1990-06-15,apple,sport,Goes to School,33.0,22
Grand Metropolitan Mall,10:47,Wisnu,Wisnu@google.com,8847811290,1974-01-15,oppo,art,Free,49.0,11
Foresthree Coffee,23:06,Vino,Vino@google.com,8601702346,1977-11-27,samsung,science,Social,45.0,23
Tang City Mall,09:54,Dono,Dono@google.com,8843055639,1968-02-27,oppo,science,Free,55.0,10
Jogja City Mall,16:17,Gaduh,Gaduh@google.com,8194547923,1985-06-04,apple,music,Free,38.0,16
Jogja City Mall,12:30,Usyi,Usyi@google.com,8987087580,1988-06-04,xiaomi,tech,Free,35.0,12
Foresthree Coffee,15:22,Vino,Vino@google.com,8050479293,1977-09-08,xiaomi,cooking,Social,45.0,15
Jogja City Mall,12:40,Dariati,Dariati@google.com,8386932412,1967-06-03,apple,sport,Free,56.0,13
Foresthree Coffee,17:40,Tri,Tri@google.com,8902078221,1964-04-15,vivo,cooking,Social,59.0,18
Foresthree Coffee,16:22,Jabal,Jabal@google.com,8220469345,1962-12-30,oppo,beauty,Social,60.0,16
